classifier,clip,category,detector,total_frames,rgb_tp,rgb_fp,rgb_fn,rgb_p,rgb_r,rgb_f1,ir_tp,ir_fp,ir_fn,ir_p,ir_r,ir_f1,clf_tp,clf_fp,clf_fn,clf_p,clf_r,clf_f1,seg_temp_segs,seg_temp_tp,seg_temp_fp,seg_temp_fn,seg_temp_p,seg_temp_r,seg_temp_f1,seg_final_segs,seg_final_tp,seg_final_fp,seg_final_fn,seg_final_p,seg_final_r,seg_final_f1,alert_events,vetoed_alerts
fnfn,distant_airplane_over_head_flying_away,airplanes,selcom_1280,55,0,21,0,0.0,0.0,0.0,0,18,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_airplane_over_head_flying_away,airplanes,selcom_640,55,0,20,0,0.0,0.0,0.0,0,18,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_flying_overhead_various_sizes_short,birds,baseline_trained,20,0,39,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_flying_overhead_various_sizes_short,birds,retrained_v2,20,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_flying_overhead_various_sizes_short,birds,selcom_1280,20,0,61,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_flying_overhead_various_sizes_short,birds,selcom_640,20,0,18,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_in_slow_motion_flying_various_sizes_compilation,birds,baseline_trained,271,0,291,0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_in_slow_motion_flying_various_sizes_compilation,birds,retrained_v2,271,0,47,0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_in_slow_motion_flying_various_sizes_compilation,birds,selcom_1280,271,0,441,0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,0,0
fnfn,birds_in_slow_motion_flying_various_sizes_compilation,birds,selcom_640,271,0,90,0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,91,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_birds_flying_in_the_sky_short,birds,baseline_trained,20,0,2,0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_birds_flying_in_the_sky_short,birds,retrained_v2,20,0,1,0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_birds_flying_in_the_sky_short,birds,selcom_1280,20,0,27,0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_birds_flying_in_the_sky_short,birds,selcom_640,20,0,0,0,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_short,birds,baseline_trained,21,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_short,birds,retrained_v2,21,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_short,birds,selcom_1280,21,0,6,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,7,0,1,0,0.0,0.0,0.0,7,0,1,0,0.0,0.0,0.0,1,0
fnfn,flock_of_birds_flying_short,birds,selcom_640,21,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_sunset,birds,baseline_trained,20,0,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_sunset,birds,retrained_v2,20,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_sunset,birds,selcom_1280,20,0,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,flock_of_birds_flying_sunset,birds,selcom_640,20,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,drone_and_bird_sky_and_trees_short,drone,baseline_trained,114,64,39,51,0.6214,0.5565,0.5872,71,35,44,0.6698,0.6174,0.6425,4,1,111,0.8,0.0348,0.0667,38,2,0,36,1.0,0.0526,0.1,38,2,0,36,1.0,0.0526,0.1,1,0
fnfn,drone_and_bird_sky_and_trees_short,drone,retrained_v2,114,27,7,88,0.7941,0.2348,0.3624,71,35,44,0.6698,0.6174,0.6425,7,2,108,0.7778,0.0609,0.1129,38,3,0,35,1.0,0.0789,0.1463,38,3,0,35,1.0,0.0789,0.1463,2,0
fnfn,drone_and_bird_sky_and_trees_short,drone,selcom_1280,114,73,66,42,0.5252,0.6348,0.5748,71,35,44,0.6698,0.6174,0.6425,4,1,111,0.8,0.0348,0.0667,38,2,0,36,1.0,0.0526,0.1,38,2,0,36,1.0,0.0526,0.1,1,0
fnfn,drone_and_bird_sky_and_trees_short,drone,selcom_640,114,58,28,57,0.6744,0.5043,0.5771,71,35,44,0.6698,0.6174,0.6425,1,1,114,0.5,0.0087,0.0171,38,0,0,38,0.0,0.0,0.0,38,0,0,38,0.0,0.0,0.0,0,0
fnfn,drone_attacked_by_bird_mountain_side_view,drone,baseline_trained,108,59,50,29,0.5413,0.6705,0.599,34,13,54,0.7234,0.3864,0.5037,0,0,88,0.0,0.0,0.0,36,0,0,31,0.0,0.0,0.0,36,0,0,31,0.0,0.0,0.0,0,0
fnfn,drone_attacked_by_bird_mountain_side_view,drone,retrained_v2,108,7,4,81,0.6364,0.0795,0.1414,34,13,54,0.7234,0.3864,0.5037,3,1,85,0.75,0.0341,0.0652,36,0,0,31,0.0,0.0,0.0,36,0,0,31,0.0,0.0,0.0,0,0
fnfn,drone_attacked_by_bird_mountain_side_view,drone,selcom_1280,108,71,26,17,0.732,0.8068,0.7676,34,13,54,0.7234,0.3864,0.5037,4,0,84,1.0,0.0455,0.087,36,1,0,30,1.0,0.0323,0.0625,36,1,0,30,1.0,0.0323,0.0625,1,0
fnfn,drone_attacked_by_bird_mountain_side_view,drone,selcom_640,108,41,21,47,0.6613,0.4659,0.5467,34,13,54,0.7234,0.3864,0.5037,3,0,85,1.0,0.0341,0.0659,36,0,0,31,0.0,0.0,0.0,36,0,0,31,0.0,0.0,0.0,0,0
fnfn,drone_over_mountain_attacked_by_birds,drone,baseline_trained,68,25,4,43,0.8621,0.3676,0.5155,12,3,56,0.8,0.1765,0.2892,7,1,61,0.875,0.1029,0.1842,23,1,0,22,1.0,0.0435,0.0833,23,1,0,22,1.0,0.0435,0.0833,1,0
fnfn,drone_over_mountain_attacked_by_birds,drone,retrained_v2,68,23,1,45,0.9583,0.3382,0.5,12,3,56,0.8,0.1765,0.2892,8,2,60,0.8,0.1176,0.2051,23,3,0,20,1.0,0.1304,0.2308,23,3,0,20,1.0,0.1304,0.2308,2,0
fnfn,drone_over_mountain_attacked_by_birds,drone,selcom_1280,68,13,2,55,0.8667,0.1912,0.3133,12,3,56,0.8,0.1765,0.2892,2,1,66,0.6667,0.0294,0.0563,23,0,0,23,0.0,0.0,0.0,23,0,0,23,0.0,0.0,0.0,0,0
fnfn,drone_over_mountain_attacked_by_birds,drone,selcom_640,68,12,0,56,1.0,0.1765,0.3,12,3,56,0.8,0.1765,0.2892,2,0,66,1.0,0.0294,0.0571,23,0,0,23,0.0,0.0,0.0,23,0,0,23,0.0,0.0,0.0,0,0
fnfn,drone_seagull_attack,drone,baseline_trained,235,143,30,51,0.8266,0.7371,0.7793,111,48,83,0.6981,0.5722,0.6289,14,3,180,0.8235,0.0722,0.1327,79,6,0,60,1.0,0.0909,0.1667,79,4,0,62,1.0,0.0606,0.1143,0,2
fnfn,drone_seagull_attack,drone,retrained_v2,235,85,12,109,0.8763,0.4381,0.5842,111,48,83,0.6981,0.5722,0.6289,33,7,161,0.825,0.1701,0.2821,79,13,0,53,1.0,0.197,0.3291,79,13,0,53,1.0,0.197,0.3291,3,2
fnfn,drone_seagull_attack,drone,selcom_1280,235,182,67,12,0.7309,0.9381,0.8217,111,48,83,0.6981,0.5722,0.6289,14,4,180,0.7778,0.0722,0.1321,79,5,0,61,1.0,0.0758,0.1408,79,4,0,62,1.0,0.0606,0.1143,0,4
fnfn,drone_seagull_attack,drone,selcom_640,235,150,40,44,0.7895,0.7732,0.7812,111,48,83,0.6981,0.5722,0.6289,17,3,177,0.85,0.0876,0.1589,79,11,0,55,1.0,0.1667,0.2857,79,8,0,58,1.0,0.1212,0.2162,2,5
fnfn,drone_takeoff_from_ground_and_not_hand_short,drone,baseline_trained,163,146,7,8,0.9542,0.9481,0.9511,81,4,73,0.9529,0.526,0.6778,71,2,83,0.9726,0.461,0.6256,55,27,0,27,1.0,0.5,0.6667,55,27,0,27,1.0,0.5,0.6667,4,0
fnfn,drone_takeoff_from_ground_and_not_hand_short,drone,retrained_v2,163,114,6,40,0.95,0.7403,0.8321,81,4,73,0.9529,0.526,0.6778,41,0,113,1.0,0.2662,0.4205,55,16,0,38,1.0,0.2963,0.4571,55,16,0,38,1.0,0.2963,0.4571,7,0
fnfn,drone_takeoff_from_ground_and_not_hand_short,drone,selcom_1280,163,137,19,17,0.8782,0.8896,0.8839,81,4,73,0.9529,0.526,0.6778,34,4,120,0.8947,0.2208,0.3542,55,15,0,39,1.0,0.2778,0.4348,55,15,0,39,1.0,0.2778,0.4348,8,0
fnfn,drone_takeoff_from_ground_and_not_hand_short,drone,selcom_640,163,140,4,14,0.9722,0.9091,0.9396,81,4,73,0.9529,0.526,0.6778,51,0,103,1.0,0.3312,0.4976,55,18,0,36,1.0,0.3333,0.5,55,18,0,36,1.0,0.3333,0.5,5,0
