source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
selcom_val_holdout,selcom_val,selcom_960,S0_detector,large,3,0,1,,,1.0000,0.7500,0.8571,
full_pipeline_persize,selcom_val,selcom_960,S0_detector,small,50,6,116,,,0.8929,0.3012,0.4505,sa32
full_pipeline_persize,selcom_val,selcom_960,S0_detector,medium,76,11,49,,,0.8736,0.608,0.717,sa32
full_pipeline_persize,selcom_val,selcom_960,S0_detector,large,3,0,1,,,1.0,0.75,0.8571,sa32
full_pipeline_persize,selcom_val,selcom_960,S1_+classifier,small,26,3,140,,,0.8966,0.1566,0.2667,sa32
full_pipeline_persize,selcom_val,selcom_960,S1_+classifier,medium,42,6,83,,,0.875,0.336,0.4855,sa32
full_pipeline_persize,selcom_val,selcom_960,S1_+classifier,large,0,0,4,,,0.0,0.0,0.0,sa32
full_pipeline_persize,selcom_val,selcom_960,S2_+classifier+patch,small,26,3,140,,,0.8966,0.1566,0.2667,sa32
full_pipeline_persize,selcom_val,selcom_960,S2_+classifier+patch,medium,42,6,83,,,0.875,0.336,0.4855,sa32
full_pipeline_persize,selcom_val,selcom_960,S2_+classifier+patch,large,0,0,4,,,0.0,0.0,0.0,sa32
full_pipeline_persize,selcom_val,selcom_960,S3_+patch_only,small,50,6,116,,,0.8929,0.3012,0.4505,sa32
full_pipeline_persize,selcom_val,selcom_960,S3_+patch_only,medium,76,11,49,,,0.8736,0.608,0.717,sa32
full_pipeline_persize,selcom_val,selcom_960,S3_+patch_only,large,3,0,1,,,1.0,0.75,0.8571,sa32
full_pipeline_persize,selcom_val,selcom_960,S4_temporal_no_filter,all,46,0,53,,,1.0,0.4646,0.6345,sa32
full_pipeline_persize,selcom_val,selcom_960,S5_alert_gate_filter,all,46,0,53,,,1.0,0.4646,0.6345,sa32
