classifier,dataset,mode,stage,n,TP,FP,FN,P,R,F1
A,rgb_test,softveto,S2_+classifier (production),1000,495,22,355,0.9574468085106383,0.5823529411764706,0.7242136064374544
A,rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
A,rgb_test,softveto,S2_+classifier_seg,1000,160,0,115,1.0,0.5818181818181818,0.735632183908046
A,rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
B,rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
B,rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
B,rgb_test,argmax,S2_+classifier,1000,232,13,618,0.9469387755102041,0.27294117647058824,0.4237442922374429
B,rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
B,rgb_test,argmax,S2_+classifier_seg,1000,61,0,214,1.0,0.22181818181818183,0.3630952380952381
B,rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,rgb_test,softveto,S2_+classifier (production),1000,502,20,348,0.9616858237547893,0.5905882352941176,0.7317784256559766
B,rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
B,rgb_test,softveto,S2_+classifier_seg,1000,160,0,115,1.0,0.5818181818181818,0.735632183908046
B,rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
C,rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
C,rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
C,rgb_test,argmax,S2_+classifier,1000,240,40,610,0.8571428571428571,0.2823529411764706,0.4247787610619469
C,rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
C,rgb_test,argmax,S2_+classifier_seg,1000,60,0,215,1.0,0.21818181818181817,0.3582089552238806
C,rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,rgb_test,softveto,S2_+classifier (production),1000,448,18,402,0.9613733905579399,0.5270588235294118,0.6808510638297873
C,rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
C,rgb_test,softveto,S2_+classifier_seg,1000,141,0,134,1.0,0.5127272727272727,0.6778846153846153
C,rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
ABC,rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
ABC,rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
ABC,rgb_test,argmax,S2_+classifier,1000,248,35,602,0.8763250883392226,0.2917647058823529,0.43777581641659313
ABC,rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
ABC,rgb_test,argmax,S2_+classifier_seg,1000,64,0,211,1.0,0.23272727272727273,0.3775811209439528
ABC,rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,rgb_test,softveto,S2_+classifier (production),1000,466,19,384,0.9608247422680413,0.548235294117647,0.6981273408239701
ABC,rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
ABC,rgb_test,softveto,S2_+classifier_seg,1000,145,0,130,1.0,0.5272727272727272,0.6904761904761904
ABC,rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
lean19,ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
lean19,ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
lean19,ir_test,argmax,S2_+classifier (production),1000,547,444,102,0.5519677093844602,0.8428351309707242,0.6670731707317072
lean19,ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
lean19,ir_test,argmax,S2_+classifier_seg,1000,183,0,48,1.0,0.7922077922077922,0.8840579710144928
lean19,ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,ir_test,softveto,S2_+classifier,1000,479,233,170,0.672752808988764,0.7380585516178737,0.7038941954445261
lean19,ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
lean19,ir_test,softveto,S2_+classifier_seg,1000,196,0,35,1.0,0.8484848484848485,0.9180327868852458
lean19,ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
A,ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
